LISTADO DE NOTAS:
CODIGO    NOTA    Semestre
FIS111      13    2019-2
FIS203      17    2019-2
FIS204      12    2019-2
FIS208      11    2019-2
FIS218       8    2019-2
FIS219      17    2019-0
FIS220      14    2019-2
FIS227      15    2017-1
FIS229      12    2019-2
INF220      12    2019-2
INF238      12    2019-2
INF239      17    2016-1
INF245      16    2017-0
INF246      12    2019-2
INF248      15    2019-1
INF263      13    2019-2
INF281       9    2018-1
INF282      14    2019-0
MAT111      19    2019-2
MAT218      12    2019-2
MAT219      13    2019-1
MAT241      14    2019-2
MAT781       8    2019-2
MEC206      16    2019-1
MEC209      15    2019-1
MEC269      12    2019-2
MEC286      18    2017-1
